"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime","DivAirportLandings","DivReachedDest","DivActualElapsedTime","DivArrDelay","DivDistance","Div1Airport","Div1AirportID","Div1AirportSeqID","Div1WheelsOn","Div1TotalGTime","Div1LongestGTime","Div1WheelsOff","Div1TailNum","Div2Airport","Div2AirportID","Div2AirportSeqID","Div2WheelsOn","Div2TotalGTime","Div2LongestGTime","Div2WheelsOff","Div2TailNum","Div3Airport","Div3AirportID","Div3AirportSeqID","Div3WheelsOn","Div3TotalGTime","Div3LongestGTime","Div3WheelsOff","Div3TailNum","Div4Airport","Div4AirportID","Div4AirportSeqID","Div4WheelsOn","Div4TotalGTime","Div4LongestGTime","Div4WheelsOff","Div4TailNum","Div5Airport","Div5AirportID","Div5AirportSeqID","Div5WheelsOn","Div5TotalGTime","Div5LongestGTime","Div5WheelsOff","Div5TailNum",
2018,1,1,16,2,2018-01-16,"AA",19805,"AA","N128AN","228",12892,1289206,32575,"LAX","Los Angeles, CA","CA","06","California",91,12173,1217303,32134,"HNL","Honolulu, HI","HI","15","Hawaii",2,"2011","2010",-1.00,0.00,0.00,-1,"2000-2059",24.00,"2034","2358",7.00,"0029","0005",-24.00,0.00,0.00,-2,"0001-0559",0.00,"",0.00,378.00,355.00,324.00,1.00,2556.00,11,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2018,1,1,17,3,2018-01-17,"AA",19805,"AA","N128AN","228",12892,1289206,32575,"LAX","Los Angeles, CA","CA","06","California",91,12173,1217303,32134,"HNL","Honolulu, HI","HI","15","Hawaii",2,"2011","2003",-8.00,0.00,0.00,-1,"2000-2059",18.00,"2021","2348",5.00,"0029","2353",-36.00,0.00,0.00,-2,"0001-0559",0.00,"",0.00,378.00,350.00,327.00,1.00,2556.00,11,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2018,1,1,18,4,2018-01-18,"AA",19805,"AA","N121AN","228",12892,1289206,32575,"LAX","Los Angeles, CA","CA","06","California",91,12173,1217303,32134,"HNL","Honolulu, HI","HI","15","Hawaii",2,"2011","2008",-3.00,0.00,0.00,-1,"2000-2059",14.00,"2022","0006",6.00,"0029","0012",-17.00,0.00,0.00,-2,"0001-0559",0.00,"",0.00,378.00,364.00,344.00,1.00,2556.00,11,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2018,1,1,19,5,2018-01-19,"AA",19805,"AA","N129AA","228",12892,1289206,32575,"LAX","Los Angeles, CA","CA","06","California",91,12173,1217303,32134,"HNL","Honolulu, HI","HI","15","Hawaii",2,"2011","2010",-1.00,0.00,0.00,-1,"2000-2059",17.00,"2027","2352",3.00,"0029","2355",-34.00,0.00,0.00,-2,"0001-0559",0.00,"",0.00,378.00,345.00,325.00,1.00,2556.00,11,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2018,1,1,20,6,2018-01-20,"AA",19805,"AA","N133AN","228",12892,1289206,32575,"LAX","Los Angeles, CA","CA","06","California",91,12173,1217303,32134,"HNL","Honolulu, HI","HI","15","Hawaii",2,"2011","2001",-10.00,0.00,0.00,-1,"2000-2059",17.00,"2018","2352",5.00,"0029","2357",-32.00,0.00,0.00,-2,"0001-0559",0.00,"",0.00,378.00,356.00,334.00,1.00,2556.00,11,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2018,1,1,21,7,2018-01-21,"AA",19805,"AA","N127AA","228",12892,1289206,32575,"LAX","Los Angeles, CA","CA","06","California",91,12173,1217303,32134,"HNL","Honolulu, HI","HI","15","Hawaii",2,"2011","2003",-8.00,0.00,0.00,-1,"2000-2059",17.00,"2020","0001",4.00,"0029","0005",-24.00,0.00,0.00,-2,"0001-0559",0.00,"",0.00,378.00,362.00,341.00,1.00,2556.00,11,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2018,1,1,22,1,2018-01-22,"AA",19805,"AA","N130AN","228",12892,1289206,32575,"LAX","Los Angeles, CA","CA","06","California",91,12173,1217303,32134,"HNL","Honolulu, HI","HI","15","Hawaii",2,"2011","2003",-8.00,0.00,0.00,-1,"2000-2059",24.00,"2027","0014",3.00,"0029","0017",-12.00,0.00,0.00,-1,"0001-0559",0.00,"",0.00,378.00,374.00,347.00,1.00,2556.00,11,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2018,1,1,23,2,2018-01-23,"AA",19805,"AA","N131NN","228",12892,1289206,32575,"LAX","Los Angeles, CA","CA","06","California",91,12173,1217303,32134,"HNL","Honolulu, HI","HI","15","Hawaii",2,"2011","2011",0.00,0.00,0.00,0,"2000-2059",23.00,"2034","2352",14.00,"0029","0006",-23.00,0.00,0.00,-2,"0001-0559",0.00,"",0.00,378.00,355.00,318.00,1.00,2556.00,11,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2018,1,1,24,3,2018-01-24,"AA",19805,"AA","N131NN","228",12892,1289206,32575,"LAX","Los Angeles, CA","CA","06","California",91,12173,1217303,32134,"HNL","Honolulu, HI","HI","15","Hawaii",2,"2011","2122",71.00,71.00,1.00,4,"2000-2059",26.00,"2148","0125",3.00,"0029","0128",59.00,59.00,1.00,3,"0001-0559",0.00,"",0.00,378.00,366.00,337.00,1.00,2556.00,11,59.00,0.00,0.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2018,1,1,25,4,2018-01-25,"AA",19805,"AA","N132AN","228",12892,1289206,32575,"LAX","Los Angeles, CA","CA","06","California",91,12173,1217303,32134,"HNL","Honolulu, HI","HI","15","Hawaii",2,"2011","2007",-4.00,0.00,0.00,-1,"2000-2059",18.00,"2025","2357",2.00,"0029","2359",-30.00,0.00,0.00,-2,"0001-0559",0.00,"",0.00,378.00,352.00,332.00,1.00,2556.00,11,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
